Dividing Wavelength (nm)	Blue Motor Position (mm)	Red Motor Position (mm)	
478.700000	26.601508	19.260364
478.800000	26.589593	19.270303
478.900000	26.577725	19.280575
479.000000	26.565905	19.291614
479.100000	26.554136	19.303860
479.200000	26.542418	19.317109
479.300000	26.530753	19.329974
479.400000	26.519141	19.343336
479.500000	26.507585	19.358251
479.600000	26.496084	19.375780
479.700000	26.484621	19.396980
479.800000	26.473193	19.427590
479.900000	26.461799	19.479938
480.000000	26.450439	19.516700
480.100000	26.439112	19.536722
480.200000	26.427819	19.551331
480.300000	26.416559	19.563404
480.400000	26.405332	19.575821
480.500000	26.394138	19.591463
480.600000	26.382977	19.613272
480.700000	26.371849	19.654675
480.800000	26.360754	19.701482
480.900000	26.349690	19.729825
481.000000	26.338660	19.751970
481.100000	26.327661	19.770786
481.200000	26.316694	19.787510
481.300000	26.305759	19.803378
481.400000	26.294856	19.819420
481.500000	26.283984	19.834308
481.600000	26.273144	19.847996
481.700000	26.262335	19.861051
481.800000	26.251557	19.874048
481.900000	26.240810	19.887555
482.000000	26.230093	19.902143
482.100000	26.219407	19.918295
482.200000	26.208752	19.934359
482.300000	26.198127	19.950899
482.400000	26.187532	19.969797
482.500000	26.176967	19.992934
482.600000	26.166433	20.023465
482.700000	26.155927	20.084642
482.800000	26.145452	20.123703
482.900000	26.135005	20.142691
483.000000	26.124588	20.157434
483.100000	26.114200	20.169076
483.200000	26.103841	20.178760
483.300000	26.093511	20.187625
483.400000	26.083210	20.196819
483.500000	26.072937	20.207478
483.600000	26.062692	20.220645
483.700000	26.052476	20.233768
483.800000	26.042287	20.246369
483.900000	26.032127	20.259878
484.000000	26.021994	20.275727
484.100000	26.011889	20.295346
484.200000	26.001811	20.320227
484.300000	25.991782	20.375308
484.400000	25.981841	20.423590
484.500000	25.971986	20.446326
484.600000	25.962212	20.463548
484.700000	25.952515	20.477284
484.800000	25.942892	20.489567
484.900000	25.933339	20.502426
485.000000	25.923852	20.517891
485.100000	25.914427	20.536846
485.200000	25.905060	20.557572
485.300000	25.895747	20.579304
485.400000	25.886484	20.601324
485.500000	25.877268	20.622909
485.600000	25.868095	20.644135
